English,True_Hinglish,Predicted_Hinglish
Please play Lewis Brice ' s latest single,please Lewis Brice ke latest single ko play kare,Please Lewis Brice ka latest single play kare
bot ; set timer for 90 seconds,bot ; 90 seconds ke liye timer set kare,bot ; 90 seconds ke liye timer set kare
set my alarm for every two hours,har do ghante ke liye mera alarm set kardo,har do ghante ke liye mera alarm set kare
delete my pickup reminder,mere pickup reminder ko delete karo,mere pickup reminder ko delete karo
Set reminder to make grocery list,grocery list banane ke liye reminder set kare,grocery list banane ke liye reminder set kare
Would I be able to take the kids to the park tomorrow ?,kya mai kal park me bacchon ko le jaunga ?,kya mai kal baccho ko park me le sakta hoon ?
please pause the music,please music ko pause kare,please music ko pause kare
remind me to cancel the newspaper tomorrow at 8 am,Kal subah 8 baje mujhe newspaper cancel karne ke liye yaad dilaayen,mujhe kal subah 8 baje newspaper cancel karne ke liye yaad dilaye
What day is the last Snowfall of the week ?,is week ka last Snowfall kya din hai ?,is haftey ke last Snowfall kya din hai ?
Remind Mason to do his trumpet this Saturday,Mason ko is saturday his trumpet karne ke liye yaad dilaye,Is saturday ko Mason ko uski trumpet karne ke liye yaad dilaayen
start timer again from the beginning,timer ko phirse shuru se shuru karo,timer ko shuru se fir se shuru kare
What time should I leave to arrive at the Nutcracker by 6 pm ?,Muje 6 pm tak the Nutcracker tak pohochne ke liye kitne baje nikalna padega ?,Muje the Nutcracker me 6 pm tak pohochne ke liye kitne baje nikalna padega ?
What is the top wind speed in km / h today ?,aaj km / h me top wind speed kya hai ?,Aaj km / h me top wind speed kya hai ?
traffic update for my work route please,Please mere work route ke liye traffic update kare,please mere work route ke liye traffic update kare
Set camera timer,camera timer ko set karen,camera timer ko set karen
Is it going to be cold tomorrow ?,Kya kal thand hone wali hai ?,kya kal thand hone wali hai ?
Please play some workout music .,Please kuch workout music play kare .,Please kuch workout music play kare .
Can you remind me what I had to do today ?,Kya aap muje aaj kya karna chahiye ?,Kya aap muje remind karwa sakte he ?
Send a message to Holland Bakery that I will be picking up my order in one hour .,Holland Bakery ko message bhejo ki mai ek ghante me apni order lene aaunga,Holland Bakery ko message bhejo ki mai ek ghante me apna order pick karne wala hu .
I want to listen to Taylor Swift ' s song Shake It Off .,Me Taylor Swift ke song Shake It Off ko sunna chahta hu .,mai Taylor Swift ka song Shake It Off sunna chahta hu .
snooze for 8minutes,8 minutes ke liye snooze karo,8minutes ke liye snooze karo
message Will and tell him that I call when I get there,Will ko message karo aur use bolo ki mai waha pahunchne ke baad call kar lungi,Will ko message karo aur use bolo ki mai waha pahunch jaunga
What time will it start raining this morning,Aaj subha baarish kab shuru hogi,Aaj subha kitne baje baarish shuru hogi
Should I carry an umbrella today ?,kya aj mujhe umbrella saath lekar aana chahiye ?,Kya aaj mujhe umbrella saath lekar aana chahiye ?
Pause song .,song ko rok do .,song ko pause kare .
when will the dawn be,dawn kab hoga,Dawn kab hoga
Set reminder for 6 pm,6 pm ke liye reminder set kare,6 pm ke liye reminder set karen
Send a message to Mss . Hannigan setting a new appointment for Friday .,Mss . Hannigan ko message bhejo Friday ke liye naya appointment set karne ke liye,Mss . Hannigan ko ek naya appointment set kare for Friday .
for the next month create an alarm everyday for 6 in the morning,Next month ke liye alarm create kare everyday for 6 in the morning,agle mahine ke liye har roz 6 baje ke liye alarm create kare
set timer for every 5 minutes,har 5 minutes ke liye timer set karo,har 5 minutes ke liye timer set kare
Wake me up tomorrow at 7 am,kal subah 7 bajhe mujhe jagaane do,kal subah 7 baje mujhe jagaane ke liye translate kare
What are the reminders on my schedule for the next seven days ?,agley teen din mere schedule par reminders kya hai ?,agley teen din tak ke liye mere schedule par kya reminders hai ?
remind me to pay my taxes april 16,mujhe 16th april ko apne taxes pay karne ke liye yaad dilaye,mujhe april 16 ko mere taxes pay karne ke liye yaad dilaye
Change my trash reminder from Mondays to Thursdays .,mere trash reminder ko Mondays se Thursdays tak badlein .,mere trash reminder ko Mondays se Thursdays me badal do .
Remove all girlscout meeting reminders,sabhi girlscout meeting ke reminders ko hata den,sabhi girlscout meeting ke reminders ko hata do
Tell me directions to the nearest dry cleaners from my mom ' s house,Muje meri mom ke ghar se the nearest dry cleaners ke liye directions bataye,mujhe mere mom ke ghar se the nearest dry cleaners ke directions bataiye
Where is the current weather system heading,current weather system kaha jaaraha hai,Current weather system kaha chal raha hai
Any events good for little kids Sunday,Sunday ko little kids ke liye koi events ache hai,Sunday ko little kids ke liye koi events good hai
Repeat this song again,is gaaney ko dobara repeat kare,is gaaney ko dobara chalaye
Show me Shreena ' s apartment movement reminder for next week .,mujhe Shreena ke apartment movement reminder ko agley haftey ke liye dikhao .,agley haftey ke liye mujhe Shreena ke apartment movement reminder dikhaye
I want to arrive at Sam ' s work at 10 ; what time must I leave home ?,mai sam ke kaam par 10 baje pahunchna chahta hoon ; toh mujhe ghar se kabb nikal na chahiye ?,mai sam ke work par 10 baje pahunchna chahta hoon ; toh mujhe ghar se kabb nikal na chahiye ?
Cancel the reminder for my dry cleaning,mere dry cleaning ke reminder ko cancel kare,mere dry cleaning ka reminder cancel kare
How long will it take me to get to downtown Portland from here,yaha se mujhe downtown Portland pahuchne mei kitni der lagegi,yaha se mujhe downtown Portland pahuchne mei kitni der lagegi
make sound on 11th,11th ko sound banaye,11th par sound banaye
Delete the reminder to make plan reservations for Christmas .,Christmas ke liye plan reservations karne wale reminder ko delete karen,Christmas ke liye plan reservations karne ke reminder ko delete kare
Remind me to get ready for the interview one hour before the travel time,mujhe travel time se ek ghante pehle interview ke liye tayyar hone ke liye yaad dilaye,mujhe interview ke liye tayyar hone se ek ghante pehle yaad dilaye
school events,school events,school events ko Hinglish me translate kare
set a reminder that it is a holiday on monday so do not take out the trash,reminder set kare ki monday ko it is a holiday so do not take out the trash,monday ko holiday hai so do not take out the trash
start playing 1670 on iheartradio,iheartradio par 1670 ko play karna shuru karo,iheartradio par 1670 bajaana shuru karo
When will my timer end ?,mera timer kab end hoga ?,Mera timer kab khatam hoga ?
What ' s the best route with the least amount of traffic,sabse kam traffic me sabse acha rasta kaunsa hai,sabse kam traffic mei best route kya hai
It ' s cold what ' s the weather ?,It ' s cold weather kaisa hai ?,Hinglish me Translate karo ki It ' s cold what ' s the weather ?
duration to get to my girlfriend ' s house,meri girlfriend ke ghar pahunchne ke liye kitna time lagega,meri girlfriend ke ghar pahunchne ke liye duration
Delete the reminder to train for the triathalon,triathalon ke liye train karne ke reminder ko delete kare,triathalon ke liye train karne ka reminder delete kare
If I leave at 8 PM what time can I be at Foxwoods casino,agar mai 8 PM ko nikalta hu to me kitne baje pohchunga Foxwoods casino me,agar mai 8 PM ko nikalta hoon to Foxwoods casino kab tak pahuchunga
Rock concerts next month,agle mahine ke Rock concerts,agle mahine ke Rock concerts ko Hinglish me translate kare
How far is it from Clinton to Jackson,Clinton se Jackson tak kitni doori hai,Clinton se Jackson tak kitni doori hai
Text my mom and ask her what she wants for dinner .,mere ma ko text karke pucho ki what she wants for dinner .,meri ma ko text karo aur pucho ki what she wants for dinner
when is the next music festival,agla music festival kab hai,agla music festival kab hai
Anticipated weather for next week,next week ke liye anticipated weather,Next week ke liye Anticipated weather
set an alarm every weekday for 15 minutes,har weekday ke liye 15 minutes ka alarm set kare,har weekday 15 minutes ke liye alarm set kare
Wake me up every weekday at 7 am,har weekday subah 7 baje mujhe jagaane ke liye,mujhe har weekday subah 7 baje uthane ke liye yaad dilaye
Change my alarm from 9 am to 9 . 30am,Mere alarm ko subah 9 bajhe se subah 9 bajhe ke liye badle,mere alarm ko 9 am se 9 . 30 am tak badal do
inform Michelle we have to leave at six pm .,Michelle ko inform kare ki humko shaam six baje nikalna hai,Michelle ko inform kare ki we have to leave at six pm .
add this song to my favorites,Is song ko my favourites me add karen \,Is song ko meri favorites me add karen \
Edit timer .,timer ko edit kare,timer ko edit kare
Remind me to move my car at 11 : 30 am .,mujhe 11 : 30 am ko meri car ko move karne ke liye yaad dilaye,Mujhe 11 : 30 am ko meri car ko move karne ke liye yaad dilaye
how heavy is traffic on the interstate today,Aaj interstate par traffic kitna zada hai,Aaj interstate par traffic kitna zada hai
Clear all reminders today .,Aaj hee sabhi reminders ko clear karo,aaj sabhi reminders ko clear karo
Show me all the event reminders .,mujhe saare event reminders dikhao .,mujhe sabhi event reminders dikhao .
cancel today ' s alarms,aaj ke alarms cancel kare,aaj ke alarms cancel kare
Could you turn off all the alarms I have please,kya aap mere sabhi alarms off karsakte hai please,Please kya aap mere sabhi alarms band karsakte hai
Birmingham Alabama tonight,Aaj raat Birmingham Alabama me,Aaj raat Birmingham Alabama me
Remind me to grade the assignments tomorrow afternoon .,Mujhe kal dopahar assignments ko grade karne ke liye yaad dilaye,Mujhe kal dopahar ko assignments grade karne ke liye yaad dilaye
Will I need a raincoat tonight ?,Kya muje aaj raat raincoat ki zarurat padegi ?,Kya muje aaj raat raincoat ki zarurat padegi ?
Weather in Tahoe this weekend ?,Is weekend ko Tahoe me mausam kaisa rahega ?,Is weekend ko Tahoe me mausam kaisa rahega ?
What is the scenic route from the Seaside to Atlantic City,Atlantic City se the Seaside tak scenic route kya hai,Seaside se Atlantic City tak scenic route kya hai
How long will it take to get from Haverhill to Holbrook this evening ?,Aaj shaam Haverhill se Holbrook tak jane ke liye kitna time lagega ?,Aaj shaam Haverhill se Holbrook tak jane ke liye kitna samay lagega ?
Play some Kenny Chesney,Kenny Chesney play kariye,kuch Kenny Chesney play kare
Message Bill indicating I will meet him at the baseball game tonight in Sacramento .,Bill ko message karo ki mai use aaj raat Sacramento mei baseball game me mil jaunga,Bill ko message karo indicating I will meet him at the baseball game tonight in Sacramento
Delete reminder for dinner party next Sunday .,agle Sunday ko dinner party ke liye reminder ko delete karen,agle Sunday ko dinner party ka reminder delete kare
delete the dinner reminder for next sunday night,agle sunday night ke liye dinner reminder ko delete karen,agley sunday night ke dinner reminder ko delete karo
what is the last reminder that i set for yesterday ?,maine kal ke liye jo last reminder set kiya hai wo kya hai ?,maine kal ke liye jo last reminder set kiya tha usey kya hai ?
Is there any tornado warnings for Huntington county ?,Kya Huntington county ke liye koi tornado warning he ?,kya Huntington county ke liye koi tornado warning hai ?
start the timer now,timer ko abhi shuru kare,timer ko abhi shuru karo
Start the timer,timer ko start karo,timer ko start kare
Play grammy best song nominees,grammy best song nominees ko play kare,grammy best song nominees ko bajao
remind me to pickup the dry cleaning,mujhe dry cleaning ko pickup karne ke liye yaad dilaye,mujhe dry cleaning ko pickup karne ke liye yaad dilaye
Remind me to start my Appen Global job Monday through Friday at 8 am .,Mujhe Monday through Friday subah 8 baje meri Appen Global job shuru karne ke liye yaad dilaayen .,Mujhe Monday through Friday subah 8 baje mera Appen Global job shuru karne ke liye yaad dilaayen .
I would like you to remind me to contact Kim Tuesday at 7,mai chahta hoon ki aap mujhe Tuesday sham 7 bajhe Kim ko contact karne ke liye yaad dila sakte hai,mai chahta hu ki aap mujhe Tuesday 7 baje Kim ko contact karne ke liye yaad dilaye
live music near Park Ridge on Saturday,Saturday ko Park Ridge ke aas paas live music,Saturday ko Park Ridge ke aas pas live music
Please cancel my alarm for tonight,Please aaj raat ke liye mera alarm cancel kare,Please aaj raat ke liye mera alarm cancel kare
Are there any work reminders in the next three weeks ?,kya agle teen weeks me koi work reminders hai ?,kya agle teen hafton me koi work reminders hai ?
Set Gym alarm every Monday and Tuesday for the month .,mahine ke liye har Monday aur Tuesday ko Gym alarm set kare,mahine ke liye har Monday aur Tuesday ko Gym alarm set kare
My reminders about all meetings for July and August ?,Mere July aur August ke sabhi meetings ke baare me reminders kya hai ?,July aur August ke liye mere sabhi meetings ke baare me reminders ko Hinglish me translate kare ?
Delete the reminder to get my nails done today .,aaj mujhe nails done karne ke reminder ko delete kare,aaj mere nails done karne ke reminder ko delete kare
Resume in 1 hour,1 ghante me resume kare,1 ghante me resume kare
What ' s happening in Philadelphia tonight,Aaj raat Philadelphia me kya hone wala hai,Philadelphia me aaj raat kya hone wala hai
turn on The Weeknd ' s newest song,The Weeknd ke naye song ko bajao,The Weeknd ke naye song ko on karo
tune to the country station,country station ke liye tune kare,country station par jaaen
whats happening,kaun sa hone wala hai,kya chal raha hai
Pause my timer,mere timer ko pause kare,mere timer ko pause kare
Send a message to Tiff asking if she can meet us at the Olive Garden at 6 pm tonight .,Tiff ko message karo aur pucho ki she can meet us at the Olive Garden at 6 pm tonight,Tiff ko message bhejkar pucho ki she can meet us at the Olive Garden at 6 pm tonight .
Please message Sadie,please Sadie ko message bhejo,Please Sadie ko message karo
switch to my chats,mere chats par switch kare,mere chats ke liye switch kare
I want to listen to despacito,Mai despacito ko sunna chahta hu,Mai despacito ko sunna chahta hu
remind me to renew my subscription,mujhe mera subscription renew karne ke liye yaad dilaye,mujhe mera subscription renew karne ke liye yaad dilaye
Cancel wake up alarm .,wake up alarm ko cancel karo,wake up alarm ko cancel karo
write Jessie : Can you babysit on Friday night ?,Jessie ko likho ki Can you babysit on Friday night ?,Jessie ko Translate kare : Can you babysit on Friday night ?
I no longer need my alarm tomorrow,kal mujhe apna alarm nahi chahiye,mujhe kal mera alarm nahi chahiye
Can you get me the directions to the nearest urgent care in Foley ?,Kya aap mujhe Foley me the nearest urgent care ke liye directions de sakte he ?,kya aap mujhe Foley mei the nearest urgent care ke directions mil sakte hai ?
tell me what movie is on today,Muje bataiye ki aaj kaunsi movie chal rahi he,Muje bataiye ki aaj kis movie chal raha hai
is morningside lane drivable in martinsville today,kya aj martinsville mei morningside lane drivable hai,Aaj martinsville me morningside lane ko drivable kya hai
Set alarm for 10 pm,raat 10 baje ke liye alarm set kardo,10 pm ke liye alarm set karen
I need to be reminded that the mortgage is due on the 16th of every month .,mujhe yaad dilana chahiye ki mortgage is due on the 16th of every month .,mujhe yaad dilao ki har mahine ki 16th ko mortgage due hai
Can you play the top rap song ?,Kya aap top rap song baja sakte hai ?,kya aap top rap song play karsakte hai ?
Please skip the next song .,Please agle song ko skip kare .,Please agle song ko skip kare .
"Send a message to Oscar to , bring the kids home .",kids ko ghar laane ke liye Oscar ko message bhejo,"Oscar ko message bheje to , bring the kids home ."
Message Mom want me to buy something at the grocery store ?,Mom ko message karo ke \ \ n want me to buy something at the grocery store ?,Mom ko message karo ki want me to buy something at the grocery store ?
Snooze this alarm please,please is alarm ko snooze karen,please is alarm ko snooze karen
Reminder to reschedule chiropractic appointment from 11 am to afternoon or evening,chiropractic appointment ko 11 am se afternoon or evening me reschedule karne ke liye reminder,chiropractic appointment ko 11 am se reschedule kare from 11 am to afternoon or evening
weather in eden prarie,eden prarie mei weather,eden prarie me mausam ke liye translation kare
set calendar reminder for basketball game,basketball game ke liye calendar reminder set karen,basketball game ke liye calendar reminder set karen
I ' d like to know if it ' s going to rain today .,Mujhe janna hai ki aaj baarish hone wali hai .,mai jaana chahta hoon ki aaj baarish hone wali hai .
Are there any downed power lines on route 347 now ?,Kya abhi route 347 par koi downed power lines hai ?,kya abhi 347 ke raaste me koi downed power lines hai ?
What reminders are left for today ?,aj ke liye kya reminders bache hai ?,aaj ke liye kya reminders bachne wale hai ?
are there any fun christmas events in my area,kya mere area mei koi fun christmas events hai,kya mere area me koi fun christmas events hai
Skip the next two songs,agle do songs ko skip kijiye,agle do songs ko skip kare
"alarm for 5 AM , please",subha 5 baje ke liye alarm please,"subah 5 baje ke liye alarm , please"
Millimetres of rainfall tonight .,Aaj raat baarish padne wali hai .,Aaj raat millimetres ki baarish ke liye Hinglish me kya kaha jayega .
repeat the last song .,pichla gana fir se chalaye,last song ko repeat kare .
Cancel this weeks alarms,is weeks ke alarms cancel kardo,Is weeks ke alarms ko cancel kare
How will the weather be in London on Friday ?,London me Friday ko weather kesa rahega ?,London me Friday ko mausam kaisa rahega ?
Remind me to send the wedding invitations tomorrow at 8 am,Mujhe kal subah 8 baje wedding invitations bhejne ke liye yaad dilaayen,Mujhe kal subah 8 bajhe wedding invitations bhejne ke liye yaad dilaayen
Are there any reminders for next Saturday night ?,Kya agle Saturday night ke liye koi reminders he ?,kya agle Saturday night ke liye koi reminders hai ?
how many seconds do I have left on my timer ?,Mere pas apne timer par kitne seconds bache hai ?,Mere pas apne timer par kitne seconds bache hai ?
how hot is it going to be next week,agle hafte kitna hot hone wala he,agley haftey kitni garmi hone wali hai
Is it going to snow tomorrow ?,kya kal barf girne waali hai ?,kya kal barf girne wali hai ?
set my timer to go on off every 11 minutes,har 11 minutes me band hone ke liye mere timer ko set karen,har 11 minute mei band hone ke liye timer set kare
Use the buzzer sound for the alarm .,alarm ke liye buzzer sound ka use kare,Alarm ke liye buzzer sound ka use kare
"I need to e - mail Jack by the end of the day Thursday , remind me an hour before .","mujhe Thursday ke end tak Jack ko e - mail bhejna hai , mujhe ek ghante pehle yaad dilaayen .","mujhe Thursday ke din baad Jack ko e - mail karne ki zaroorat hai , mujhe ek ghante pehle yaad dilaayen ."
cancel reminder for hair appointment,hair appointment ke liye reminder cancel kare,hair appointment ke liye reminder cancel kare
allocate timer for 4 pm,shaam 4 baje ke liye timer allocate karo,4 pm ke liye timer ko allocate kare
remind me to make dentist appointment tomorrow,mujhe kal dentist appointment lene ke liye yaad dilaye,kal mujhe dentist appointment lene ke liye yaad dilaye
Show me who sent me that text,mujhe dikhao mujhe wo text kisne bheje hai,mujhe dikhao ki mujhe wo text bheja hai
Where are there accidents in my area,mere area me accidents kaha hai,mere area me accidents kaha hone wale hai
I need you to keep going with the dye hair timer,mujhe chahta hu ki aap dye hair timer ke sath chalkar jae,mujhe apko dye hair timer ke sath chalne ki zaroorat hai
"What is the traffic driving from New Hope , PA to Philadelphia , PA","New Hope , PA se Philadelphia , PA tak traffic driving kya hai","New Hope , PA se Philadelphia , PA tak driving traffic kya hai"
set my timer for a day,ek din ke liye timer ko set kare,ek din ke liye timer ko set karen
Set a timer for 2 hours,2 hours ke liye timer set kare,2 hours ke liye timer set kare
Update 5 pm alarm to 5 am,5 pm ke alarm ko 5 am me update karen,5 pm ke alarm ko 5 am me update kare
Can you set up a monthly reminder for the last day of the monthly to the staff for their expense reports ?,kya aap staff ko expense reports bhejne ke liye monthly ke last day ke liye ek monthly reminder set up kar sakte hai ?,kya aap staff ke liye monthly to the staff for their expense reports ?
Let me know all the alerts about my children .,mujhe mere children ke baare me sabhi alerts batao,mujhe mere bete ke baare me sabhi alerts batao
Show me my PTO reminders for next month .,agley mahine ke liye mujhe mere PTO reminders dikhao .,mujhe agley mahine ke liye mere PTO reminders dikhao .
I want to listen to adele,mai adele ko sunna chahta hoon,mai adele ko sunna chahta hoon
Pause my current timer,Mere current timer ko pause kare,Mere current timer ko pause kare
How many inches of snow is expected for tonight ?,Aaj raat ke liye kitne inches ki barf expected hai ?,Aaj raat ke liye kitne inches ki barf expected hai ?
how does traffic look out there this morning,Aaj subah traffic kaisa dikh raha hai,Aaj subah waha traffic kaisa dikh raha hai
What reminders do I have for Wednesday,Mere paas wednesday ke liye konse reminders he,Mere paas Wednesday ke liye konse reminders he
What is the traffic this morning,Aaj subah traffic kaisa hai,Aaj subah traffic kaisa hai
Events near by this weekend,is weekend aas paas ke events,is weekend aas paas ke events
please set two timers,please do timers ko set karen,please do timers set kare
Thumbs down song,song ko Thumbs down dijiye,Thumbs down song ko translate kare
Send message to Jason that his glasses arrived in the mail today,Jason ko message bhejo ki his glasses arrived in the mail today,Jason ko message bheje ki his glasses arrived in the mail today
I have a meeting in Chicago at 9 : 00 am and I need to know how much time to allow to get there on time ?,mujhe Chicago me ek meeting hai subah 9 bajhe aur mujhe janna hai ki mujhe samai pe paunchne ke liye kitna time chahiye ?,mujhe Chicago me ek meeting hai subah 9 baje aur mujhe time par Chicago pahuchne ke liye kitna time allow karna chahiye ?
What is today ' s lows ?,today ' s lows kya hai ?,aaj ke lows kya hai ?
Let Theresa know K - love is hosting a christian concert at the church this weekend,Theresa ko batao ki K - love is hosting a christian concert at the church this weekend,Theresa ko bataye ki K - love is hosting a christian concert at the church this weekend
